,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
0,1780.362,1642204800000000000,1,17.021,252.269,2.4728,34.6213,1798.72,1035.9346837960177,27.654138798328404,2371.0,2.96,41.46,0.0,-2.9999999999999987,2414.0,7.6772,71.97
1,1682.38,1642204800000000000,1,17.021,252.269,2.6036,34.6145,1699.33,1035.462271189081,27.636795832956068,2373.0,3.0,41.94,0.0,-3.1600000000000024,2411.0,7.6648,65.1
2,1584.156,1642204800000000000,1,17.021,252.269,2.792,34.6057,1599.74,1034.9794083289196,27.612630332117533,2373.0,3.06,42.37,0.0,-3.6900000000000035,2406.0,7.6487,56.83
3,1485.52,1642204800000000000,1,17.021,252.269,3.0101,34.5948,1499.78,1034.4889034467924,27.583622262312474,2374.0,3.11,43.03,0.0,-3.829999999999997,2400.0,7.6305,48.77
4,1387.303,1642204800000000000,1,17.021,252.269,3.2011,34.5859,1400.29,1034.0049960817228,27.557897138259477,2375.0,3.16,43.37,0.0,-4.2900000000000045,2396.0,7.6138,41.3
5,1287.894,1642204800000000000,1,17.021,252.269,3.4786,34.5743,1299.64,1033.5020581278393,27.521305813084837,2374.0,3.21,43.79,0.0,-4.67,2390.0,7.5948,32.62
6,1188.427,1642204800000000000,1,17.021,252.269,3.826,34.5617,1198.98,1032.9886961051532,27.476006718172357,2372.0,3.26,44.28,0.0,-4.979999999999995,2381.0,7.5713,23.43
7,1090.407,1642204800000000000,1,17.021,252.269,4.1949,34.551,1099.83,1032.4802068154531,27.42845625207383,2369.0,3.29,44.68,0.0,-5.0600000000000005,2373.0,7.5532,15.51
8,990.798,1642204800000000000,1,17.021,252.269,4.5797,34.5406,999.12,1031.9620252341238,27.377702553453673,2365.0,3.32,44.62,0.0,-5.6,2364.0,7.5363,8.24
9,943.316,1642204800000000000,1,17.021,252.269,4.7112,34.5375,951.13,1031.723255470846,27.360051096180086,2368.0,3.32,44.45,0.0,-5.769999999999994,2362.0,7.5205,6.39
10,893.833,1642204800000000000,1,17.021,252.269,4.9184,34.5347,901.13,1031.4652023735541,27.333876688290957,2365.0,3.32,44.01,0.0,-6.209999999999999,2358.0,7.5154,4.21
11,844.309,1642204800000000000,1,17.021,252.269,5.1195,34.5321,851.1,1031.2077620365353,27.30801908363219,2361.0,3.32,43.51,0.0,-6.709999999999999,2354.0,7.5138,2.8
12,794.813,1642204800000000000,1,17.021,252.269,5.3151,34.5287,801.11,1030.9504134809167,27.281674593038133,2357.0,3.31,42.92,0.0,-7.139999999999999,2350.0,7.5137,1.94
13,745.939,1642204800000000000,1,17.021,252.269,5.5827,34.5228,751.76,1030.683771090364,27.244201246251578,2353.0,3.29,41.83,0.0,-7.910000000000002,2346.0,7.513,1.37
14,695.766,1642204800000000000,1,17.021,252.269,5.9116,34.5199,701.11,1030.4044885108667,27.200611414245714,2348.0,3.26,40.52,0.0,-8.739999999999993,2342.0,7.5131,0.93
15,646.948,1642204800000000000,1,17.021,252.269,6.1868,34.5221,651.84,1030.1425196163898,27.16663230497329,2343.0,3.24,38.89,0.01,-10.040000000000004,2338.0,7.5146,0.84
16,596.988,1642204800000000000,1,17.021,252.269,6.5754,34.5237,601.43,1029.8578918726325,27.11634654427712,2338.0,3.19,36.81,0.1,-11.229999999999995,2334.0,7.5142,0.81
17,547.86,1642204800000000000,1,17.021,252.269,7.1424,34.5321,551.87,1029.5545720492019,27.045129810476965,2332.0,3.12,33.78,0.86,-12.38,2328.0,7.5121,0.84
18,498.144,1642204800000000000,1,17.021,252.269,7.662,34.541,501.73,1029.2539915265966,26.977489151528516,2326.0,3.05,31.9,0.74,-13.259999999999996,2323.0,7.5112,0.88
19,446.71,1642204800000000000,1,17.021,252.269,8.2621,34.5565,449.87,1028.9358567223026,26.89982275248758,2320.0,2.97,29.52,0.87,-14.230000000000002,2318.0,7.5078,0.91
20,398.498,1642204800000000000,1,17.021,252.269,8.8416,34.5749,401.27,1028.6354276656343,26.82373966694786,2315.0,2.88,27.68,0.96,-14.539999999999997,2314.0,7.5073,0.88
21,378.347,1642204800000000000,1,17.021,252.269,9.0578,34.5841,380.96,1028.5146231591245,26.796131636173186,2312.0,2.85,26.81,1.22,-14.670000000000003,2312.0,7.5067,0.9
22,358.373,1642204800000000000,1,17.021,252.269,9.2451,34.5922,360.83,1028.3983287939109,26.771820002322784,2310.0,2.82,25.98,1.51,-14.729999999999995,2311.0,7.5068,0.9
23,349.441,1642204800000000000,1,17.021,252.269,9.401,34.601,351.83,1028.3379921541334,26.753137836925134,2309.0,2.8,25.36,1.57,-14.969999999999997,2310.0,7.507,0.91
24,338.763,1642204800000000000,1,17.021,252.269,9.5697,34.614,341.07,1028.2705845941666,26.735323870881984,2308.0,2.78,24.68,1.76,-15.139999999999995,2309.0,7.5071,0.91
25,329.643,1642204800000000000,1,17.021,252.269,9.6813,34.6163,331.88,1028.2116031468424,26.71838109992359,2307.0,2.77,24.21,1.84,-15.37,2309.0,7.5055,0.92
26,319.44,1642204800000000000,1,17.021,252.269,9.8738,34.6261,321.6,1028.1393210474794,26.693567362394106,2306.0,2.74,23.35,2.04,-15.550000000000002,2308.0,7.5065,0.92
27,309.227,1642204800000000000,1,17.021,252.269,10.0716,34.6425,311.31,1028.070882057826,26.67260651026254,2304.0,2.72,22.71,2.08,-15.830000000000004,2308.0,7.5075,0.94
28,299.41,1642204800000000000,1,17.021,252.269,10.2231,34.6478,301.42,1028.0035412255504,26.650541399671056,2303.0,2.7,21.89,2.34,-16.070000000000004,2307.0,7.507,0.93
