,Station,lat,lon,T,S,P,rho,sigma0,DIC,NO3,NO2,TA,pH,O2
0,1.0,17.021,252.269,2.4728,34.6213,1798.72,1035.9346837960177,27.654138798328404,2371.0,40.05078761140278,0.0,2414.0,7.677,71.86
1,1.0,17.021,252.269,2.6036,34.6145,1699.33,1035.462271189081,27.636795832956068,2373.0,40.532621195172496,0.0,2411.0,7.6646,65.01
2,1.0,17.021,252.269,2.792,34.6057,1599.74,1034.9794083289196,27.612630332117533,2373.0,40.957336599037276,0.0,2406.0,7.6485,56.75
3,1.0,17.021,252.269,3.0101,34.5948,1499.78,1034.4889034467924,27.583622262312474,2374.0,41.60508619918097,0.0,2400.0,7.6303,48.7
4,1.0,17.021,252.269,3.2011,34.5859,1400.29,1034.0049960817228,27.557897138259477,2375.0,41.93403335990558,0.0,2396.0,7.6136,41.24
5,1.0,17.021,252.269,3.4786,34.5743,1299.64,1033.5020581278393,27.521305813084837,2374.0,42.36082517272029,0.0,2390.0,7.5946,32.57
6,1.0,17.021,252.269,3.826,34.5617,1198.98,1032.9886961051532,27.476006718172357,2372.0,42.84654824092533,0.0,2381.0,7.5711,23.4
7,1.0,17.021,252.269,4.1949,34.551,1099.83,1032.4802068154531,27.42845625207383,2369.0,43.25506649444427,0.0,2373.0,7.553,15.48
8,1.0,17.021,252.269,4.5797,34.5406,999.12,1031.9620252341238,27.377702553453673,2365.0,43.208954311941625,0.0,2364.0,7.5362,8.23
9,1.0,17.021,252.269,4.7112,34.5375,951.13,1031.723255470846,27.360051096180086,2368.0,43.06387373203442,0.0,2362.0,7.5203,6.38
10,1.0,17.021,252.269,4.9184,34.5347,901.13,1031.4652023735541,27.333876688290957,2365.0,42.65776479783272,0.0,2358.0,7.5152,4.2
11,1.0,17.021,252.269,5.1195,34.5321,851.1,1031.2077620365353,27.30801908363219,2361.0,42.183545936554744,0.0,2354.0,7.5136,2.79
12,1.0,17.021,252.269,5.3151,34.5287,801.11,1030.9504134809167,27.281674593038133,2358.0,41.641188013156224,0.0,2350.0,7.5135,1.94
13,1.0,17.021,252.269,5.5827,34.5228,751.76,1030.683771090364,27.244201246251578,2353.0,40.60411270056842,0.0,2346.0,7.5129,1.37
14,1.0,17.021,252.269,5.9116,34.5199,701.11,1030.4044885108667,27.200611414245714,2348.0,39.38259242120144,0.0,2342.0,7.5129,0.92
15,1.0,17.021,252.269,6.1868,34.5221,651.84,1030.1425196163898,27.16663230497329,2343.0,37.839424407523325,0.0,2338.0,7.5144,0.84
16,1.0,17.021,252.269,6.5754,34.5237,601.43,1029.8578918726325,27.11634654427712,2338.0,35.86902648561588,0.0,2334.0,7.514,0.81
17,1.0,17.021,252.269,7.1424,34.5321,551.87,1029.5545720492019,27.045129810476965,2332.0,32.994851290288466,0.0,2328.0,7.5119,0.84
18,1.0,17.021,252.269,7.662,34.541,501.73,1029.2539915265966,26.977489151528516,2326.0,31.216784452149238,0.0,2323.0,7.511,0.87
19,1.0,17.021,252.269,8.2621,34.5565,449.87,1028.9358567223026,26.89982275248758,2320.0,28.95224207162601,0.0,2318.0,7.5076,0.91
20,1.0,17.021,252.269,8.8416,34.5749,401.27,1028.6354276656343,26.82373966694786,2315.0,27.21080690708852,0.0,2314.0,7.5071,0.87
